"code" "SUM" "id_plant" "treatmentClassification" "effluent" "northing"
"WMB45" 0.212622298610479 "PT3" "secondary" TRUE 41.148456
"WMB46" 0.207970663658455 "PT3" "secondary" TRUE 41.148456
"WMB47" 0.199410980427993 "PT3" "secondary" TRUE 41.148456
"WMC01" 0.174565199105105 "NO1" "untreated" FALSE 59.883843
"WMC02" 0.203774917292441 "NO1" "untreated" FALSE 59.883843
"WMC03" 0.216626505284344 "NO1" "untreated" FALSE 59.883843
"WMC58" 0.222667000831719 "DE2" "untreated" FALSE 51.072725
"WMC60" 0.257694225585545 "DE2" "untreated" FALSE 51.072725
"WMC07" 0.247583222907152 "FI1" "untreated" FALSE 60.225508
"WMC08" 0.364407810259722 "FI1" "untreated" FALSE 60.225508
"WMC09" 0.278309630851669 "FI1" "untreated" FALSE 60.225508
"WMC10" 0.0324409082205423 "FI1" "tertiary" TRUE 60.225508
"WMC11" 0.0362494077047358 "FI1" "tertiary" TRUE 60.225508
"WMC12" 0.0466597151651815 "FI1" "tertiary" TRUE 60.225508
"WMC13" 0.229992252544543 "FI2" "untreated" FALSE 60.150548
"WMC14" 0.22775881163208 "FI2" "untreated" FALSE 60.150548
"WMC15" 0.13044426663296 "FI2" "secondary" TRUE 60.150548
"WMC16" 0.245442930018236 "FI2" "untreated" FALSE 60.150548
"WMC17" 0.135528881584873 "FI2" "secondary" TRUE 60.150548
"WMC18" 0.141684175674485 "FI2" "secondary" TRUE 60.150548
"WMC28" 0.205656151482307 "CYP1" "tertiary" TRUE 34.710996
"WMC30" 0.167598655593088 "CYP1" "tertiary" TRUE 34.710996
"WMC32" 0.400690868401931 "CYP2" "untreated" FALSE 35.104701
"WMC38" 0.287847964047351 "DE1" "untreated" FALSE 49.045407
"WMC39" 0.299942324309151 "DE1" "untreated" FALSE 49.045407
"WMC48" 0.901294192617429 "PT2" "untreated" FALSE 41.147918
"WMC52" 0.798952295501263 "PT1" "secondary" TRUE 41.2046803
"WMC53" 0.900395103103581 "PT1" "secondary" TRUE 41.2046803
"WMC22" 0.1170837042049 "IL2" NA TRUE 53
"WMC23" 0.0783871345624619 "IL2" NA TRUE 53
"WMC24" 0.0384883531314072 "IL2" NA TRUE 53
"WMC54" 0.889536440772175 "PT1" "secondary" TRUE 41.2046803
"WMC59" 0.229027153178507 "DE2" "untreated" FALSE 51.072725
"WMC62" 0.159030384233022 "DE2" "secondary" TRUE 51.072725
"WMC63" 0.143928999810431 "DE2" "secondary" TRUE 51.072725
"WMC25" 0.413957539391101 "CYP1" "untreated" FALSE 34.710996
"WMC26" 0.391387791552735 "CYP1" "untreated" FALSE 34.710996
"WMC27" 0.367311613432074 "CYP1" "untreated" FALSE 34.710996
"WMC05" 0.0788450967835083 "NO1" "secondary" TRUE 59.883843
"WMC06" 0.0555878502501241 "NO1" "secondary" TRUE 59.883843
"WMC20" 0.183235068856791 "IL1" NA TRUE 53
"WMC21" 0.105404452956887 "IL1" NA TRUE 53
"WMC33" 0.45347005688046 "CYP2" "untreated" FALSE 35.104701
"WMC34" 0.364318585348596 "CYP2" "tertiary" TRUE 35.104701
"WMC35" 0.0532311258132999 "CYP2" "tertiary" TRUE 35.104701
"WMC36" 0.0807255810358227 "CYP2" "tertiary" TRUE 35.104701
"WMC46" 0.930603507172672 "PT2" "untreated" FALSE 41.147918
"WMC47" 1.24675040366937 "PT2" "untreated" FALSE 41.147918
"WMC37" 0.276450671523507 "DE1" "untreated" FALSE 49.045407
"WMC40" 0.00176592526021378 "DE1" "tertiary" TRUE 49.045407
"WMC42" 0.0144621289558723 "DE1" "tertiary" TRUE 49.045407
"WMC49" 0.493842660907907 "PT1" "untreated" FALSE 41.2046803
"WMC50" 0.536167021451481 "PT1" "untreated" FALSE 41.2046803
"WMC51" 0.313512471763389 "PT1" "untreated" FALSE 41.2046803
"WMC61" 0.121408647637435 "DE2" "secondary" TRUE 51.072725
"WMC55" 0.604980391209059 "PT2" "secondary" TRUE 41.147918
"WMC56" 0.453825086574417 "PT2" "secondary" TRUE 41.147918
"WMC57" 0.424858526803005 "PT2" "secondary" TRUE 41.147918
"WMC64" 0.54015933423065 "ES1" "untreated" FALSE 42.025751
"WMA01" 0.328289573361429 "CYP1" "tertiary" TRUE 34.710996
"WMA02" 0.375096253807108 "CYP1" "tertiary" TRUE 34.710996
"WMA03" 0.615147165483377 "CYP1" "tertiary" TRUE 34.710996
"WMA07" 0.0331948956975204 "DE1" "tertiary" TRUE 49.045407
"WMA10" 0.104595842210729 "DE2" "secondary" TRUE 51.072725
"WMA11" 0.0902943643659823 "DE2" "secondary" TRUE 51.072725
"WMA12" 0.106171671781257 "DE2" "secondary" TRUE 51.072725
"WMA13" 0.614137415477767 "PT1" "secondary" TRUE 41.2046803
"WMA14" 0.560730770283463 "PT1" "secondary" TRUE 41.2046803
"WMA15" 0.580007831919942 "PT1" "secondary" TRUE 41.2046803
"WMA16" 0.255541412956502 "PT2" "secondary" TRUE 41.147918
"WMA17" 0.244548991203333 "PT2" "secondary" TRUE 41.147918
"WMA18" 0.263365425862486 "PT2" "secondary" TRUE 41.147918
"WMA19" 0.126712417791918 "ES1" "secondary" TRUE 42.025751
"WMA20" 0.105363903778215 "ES1" "secondary" TRUE 42.025751
"WMA22" 0.0476275633083263 "NO1" "secondary" TRUE 59.883843
"WMA23" 0.0430197540349013 "NO1" "secondary" TRUE 59.883843
"WMA24" 0.0500658833220678 "NO1" "secondary" TRUE 59.883843
"WMA25" 0.144831514536694 "IL1" NA TRUE 53
"WMA26" 0.143228727002384 "IL1" NA TRUE 53
"WMA27" 0.170826595830352 "IL1" NA TRUE 53
"WMA28" 0.104387076196321 "IL2" NA TRUE 53
"WMA29" 0.084032469586272 "IL2" NA TRUE 53
"WMA30" 0.0665525591588393 "IL2" NA TRUE 53
"WMA37" 0.0869183024544788 "FI1" "tertiary" TRUE 60.225508
"WMA40" 0.136621244803609 "FI2" "secondary" TRUE 60.150548
"WMB01" 0.320720040053718 "CYP1" "untreated" FALSE 34.710996
"WMB02" 0.325269600213993 "CYP1" "untreated" FALSE 34.710996
"WMB07" 0.22133928141177 "CYP1" "tertiary" TRUE 34.710996
"WMB08" 0.185659223973071 "CYP1" "tertiary" TRUE 34.710996
"WMB09" 0.190288422974748 "CYP1" "tertiary" TRUE 34.710996
"WMB13" 0.362079776164186 "DE1" "untreated" FALSE 49.045407
"WMB14" 0.401633093268345 "DE1" "untreated" FALSE 49.045407
"WMB15" 0.349425866057729 "DE1" "untreated" FALSE 49.045407
"WMB17" 0.252312156519536 "DE2" "untreated" FALSE 51.072725
"WMB21" 0.086343537294449 "DE2" "secondary" TRUE 51.072725
"WMB22" 0.0835975834095573 "DE2" "secondary" TRUE 51.072725
"WMB23" 0.185996900460652 "DE2" "secondary" TRUE 51.072725
"WMB25" 0.43015319116218 "ES1" "untreated" FALSE 42.025751
"WMB26" 0.287587886108208 "ES1" "untreated" FALSE 42.025751
"WMB28" 0.244005386094276 "ES1" "secondary" TRUE 42.025751
"WMB29" 0.222382895196635 "ES1" "secondary" TRUE 42.025751
"WMB30" 0.189574439210589 "NO1" "untreated" FALSE 59.883843
"WMB31" 0.155619599380699 "NO1" "untreated" FALSE 59.883843
"WMB32" 0.234524775040526 "NO1" "untreated" FALSE 59.883843
"WMB33" 0.0631538065613046 "NO1" "secondary" TRUE 59.883843
"WMB34" 0.0500966450761115 "NO1" "secondary" TRUE 59.883843
"WMB35" 0.0560272242379074 "NO1" "secondary" TRUE 59.883843
"WMB36" 0.81236171891608 "PT2" "untreated" FALSE 41.147918
"WMB37" 0.503727057533702 "PT2" "untreated" FALSE 41.147918
"WMB38" 0.298669641383931 "PT2" "untreated" FALSE 41.147918
"WMB39" 0.391686991133475 "PT3" "untreated" FALSE 41.148456
"WMB40" 0.461535403813133 "PT3" "untreated" FALSE 41.148456
"WMB41" 0.412805153224555 "PT3" "untreated" FALSE 41.148456
"WMB42" 0.239863090350558 "PT2" "secondary" TRUE 41.147918
"WMB43" 0.258099385259773 "PT2" "secondary" TRUE 41.147918
"WMB44" 0.227147332161614 "PT2" "secondary" TRUE 41.147918
"WMB48" 0.1384375615526 "IL1" NA TRUE 53
"WMB49" 0.10304975986679 "IL1" NA TRUE 53
"WMB50" 0.151383410578625 "IL1" NA TRUE 53
"WMB51" 0.125885350344893 "IL2" NA TRUE 53
"WMB52" 0.135602565519374 "IL2" NA TRUE 53
"WMB53" 0.130892437394243 "IL2" NA TRUE 53
"WMB54" 0.267566878414233 "FI1" "untreated" FALSE 60.225508
"WMB55" 0.243386349305342 "FI1" "untreated" FALSE 60.225508
"WMB56" 0.248424713365588 "FI1" "untreated" FALSE 60.225508
"WMB57" 0.229329601404795 "FI2" "untreated" FALSE 60.150548
"WMB58" 0.239892605657655 "FI2" "untreated" FALSE 60.150548
"WMB59" 0.238081311282262 "FI2" "untreated" FALSE 60.150548
"WMB60" 0.0541918915382389 "FI1" "tertiary" TRUE 60.225508
"WMB61" 0.0837684156510553 "FI1" "tertiary" TRUE 60.225508
"WMB62" 0.11212244442123 "FI1" "tertiary" TRUE 60.225508
"WMB63" 0.149144862310058 "FI2" "secondary" TRUE 60.150548
"WMB64" 0.152883232801591 "FI2" "secondary" TRUE 60.150548
"WMB65" 0.148065739050539 "FI2" "secondary" TRUE 60.150548
